type,involved_person,datetime,operation,operation_name,location,latitude,longitude,street_id,street_name,gender,age_range,self_defined_ethnicity,officer_defined_ethnicity,legislation,object_of_search,outcome,outcome_linked_to_object_of_search,removal_of_more_than_outer_clothing
Person search,True,2022-01-18T18:39:00+00:00,False,,,,,,,Male,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False
Person search,True,2022-01-18T20:10:00+00:00,False,,"52.079459, 0.430790",52.079459,0.430790,1137125,On or near Clements Close,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-18T20:20:00+00:00,False,,"52.077772, 0.431501",52.077772,0.431501,1137122,On or near Cornwallis Road,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-18T22:00:00+00:00,False,,"52.070829, 1.180510",52.070829,1.180510,1136546,On or near Alma Close,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-18T22:15:00+00:00,False,,"52.073867, 1.177253",52.073867,1.177253,1137575,On or near Sports/Recreation Area,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-18T22:15:00+00:00,False,,"52.073867, 1.177253",52.073867,1.177253,1137575,On or near Sports/Recreation Area,Male,10-17,,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-18T22:30:00+00:00,False,,"52.073867, 1.177253",52.073867,1.177253,1137575,On or near Sports/Recreation Area,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-18T22:30:00+00:00,False,,"52.073867, 1.177253",52.073867,1.177253,1137575,On or near Sports/Recreation Area,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-18T22:42:00+00:00,False,,"52.349363, 0.533591",52.349363,0.533591,1141885,On or near Quaker'S Eoad,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-18T22:42:00+00:00,False,,"52.349363, 0.533591",52.349363,0.533591,1141885,On or near Quaker'S Eoad,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-18T22:42:00+00:00,False,,"52.349363, 0.533591",52.349363,0.533591,1141885,On or near Quaker'S Eoad,Female,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-18T22:42:00+00:00,False,,"52.349363, 0.533591",52.349363,0.533591,1141885,On or near Quaker'S Eoad,Male,,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-19T02:30:00+00:00,False,,"52.240184, 0.702283",52.240184,0.702283,1140017,On or near Brooklands Close,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-19T03:54:00+00:00,False,,"52.240590, 0.700652",52.240590,0.700652,1140050,On or near Hospital Road,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-19T11:43:00+00:00,False,,"52.249154, 0.702857",52.249154,0.702857,1140483,On or near Grove Road,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-19T12:00:00+00:00,False,,"52.052208, 1.143795",52.052208,1.143795,1135816,On or near Parking Area,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False
Person search,True,2022-01-19T14:30:00+00:00,False,,"52.060620, 1.145714",52.060620,1.145714,1136680,On or near Supermarket,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-19T14:30:00+00:00,False,,"52.060620, 1.145714",52.060620,1.145714,1136680,On or near Supermarket,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-19T15:20:00+00:00,False,,"52.084930, 0.437188",52.084930,0.437188,1136986,On or near Station Road,Male,18-24,White - Gypsy or Irish Traveller,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,True,False
Person search,True,2022-01-19T15:20:00+00:00,False,,"52.084930, 0.437188",52.084930,0.437188,1136986,On or near Station Road,Male,10-17,White - Gypsy or Irish Traveller,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,False
Person search,True,2022-01-19T15:45:00+00:00,False,,"52.058034, 1.136457",52.058034,1.136457,1135579,On or near London Road,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-19T15:45:00+00:00,False,,"52.058034, 1.136457",52.058034,1.136457,1135579,On or near London Road,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-19T15:45:00+00:00,False,,"52.058034, 1.136457",52.058034,1.136457,1135579,On or near London Road,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-19T19:45:00+00:00,False,,"52.492515, 1.746340",52.492515,1.746340,1144434,On or near Yarmouth Road,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-19T20:00:00+00:00,False,,"52.492461, 1.744066",52.492461,1.744066,1144461,On or near Europa Road,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-19T22:00:00+00:00,False,,"52.056519, 1.142697",52.056519,1.142697,1135684,On or near Sports/Recreation Area,Female,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-19T22:00:00+00:00,False,,"52.056519, 1.142697",52.056519,1.142697,1135684,On or near Sports/Recreation Area,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-20T02:00:00+00:00,False,,"52.473744, 1.750268",52.473744,1.750268,1143938,On or near Station Square,Female,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-20T02:00:00+00:00,False,,"52.473744, 1.750268",52.473744,1.750268,1143938,On or near Station Square,Male,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False
